PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001
N201112070234,393,393,94,94,1006 / 1050 16TH ST & 1380 07TH ST,3833002
N200705221925,4,3,0,0,101 LELAND AV,6250036
N200706265226,2,2,0,0,104 BACHE ST,5826002
N201012277437,15,15,0,0,1050 VALENCIA ST,3617008
N201307313282,1,1,0,0,1055 ASHBURY ST,1269167
N201207104447,98,98,98,98,1100 GOLDEN GATE AV,0757025
N200605111391,2,2,0,0,1208 15TH AV,1736033
N201507020526,11,11,0,0,1155 MARKET ST,3702054
N200710155355,2,1,0,0,1196 HAMPSHIRE ST,4210013
N201312234917,263,263,34,34,1201 - 1225 TENNESSEE STREET,4172022
N201304295719,2,1,0,0,1259 21ST AV,1729012
N201408295126,2,1,0,0,1267 NOE ST,6553024
N201310119147,3,1,0,0,1302 YORK ST,4274001
N201306199977,9,9,0,0,131 MISSOURI ST,3985024
N201504214240,2,1,0,0,1315 SILLIMAN ST,5938049
N201301087514,2,1,0,0,1325 OCEAN AV,6942054
N201009080449,4,4,0,0,136 PIXLEY ST,0516028A
N201112070227,470,470,0,0,1400 07TH ST,3833001
N201309197251,2,1,0,0,1433 48TH AV,1805006
N200609253192,1,1,0,0,193 BREWSTER ST,5577010
N201306280738,23,23,3,3,1450 15TH ST,3549064
N200809252660,69,69,9,9,1450 FRANKLIN ST,0671006
N201302250862,3,1,0,0,1451 MARIPOSA ST,4004034
N201302150317,3,3,0,0,1470 MCALLISTER ST,0776035
N200810315636,15,15,0,0,1490 OCEAN AV,3197010
N201012106469,1,1,0,0,1927 ALEMANY BL,6959030
N201405125450,2,2,0,0,1947 OAKDALE AV,5319037
N200609253191,3,3,0,0,195 BREWSTER ST,5577009
N201505126143,2,1,0,0,1987 OAKDALE AV,5319028
N201405226523,1,1,0,0,2495 HARRISON ST,4084018
N201303212727,2,1,2,1,4616 03RD ST,5306025
N200711077576,1,1,0,0,83 PANORAMA DR,2821010
N201406138386,27,27,2,2,832 SUTTER ST,0281003
N201502249184,3,1,0,0,1594 GOLDEN GATE AV,0753010
N200810315629,1,1,0,0,160 SAN MARCOS AV,2861011
N201311041047,4,4,0,0,1631 MCALLISTER ST,1179024A
N200412171712,27,27,0,0,1601 LARKIN ST,0620006
N200607106046,1,1,0,0,162 BREWSTER ST,5556019
N201502239095,1,1,0,0,1625 OAK ST,1223003
N201312184508,260,260,31,31,1634 - 1690 PINE ST,0647007
N200807176988,2,2,0,0,165 - 167 BRUSSELS ST,5926021
N201203055396,34,34,0,0,1650 BROADWAY *,0570011
N201409237117,4,4,0,0,1656 POST ST,0686040
N201110146866,2,1,0,0,166 WINFIELD ST,5617014
N200904065665,6,6,0,0,1701 09TH AV,2040001
N201312305300,2,1,0,0,1749 DOLORES ST,6659006
N201310159297,2,1,0,0,1756 REVERE AV,5338018
N201305298094,1,1,0,0,1758 12TH AV,2038A019
N201307151824,1,1,0,0,1762 12TH AV,2038A018
N201210242702,8,8,0,0,1785 15TH ST,3555036
N201305015894,140,140,0,0,181 FREMONT ST,3719010
N201310119178,7,7,0,0,1823 TURK ST,1153020
N200602215057,35,35,0,0,1860 VAN NESS AV,0619012
N201205039740,2,1,0,0,188 BROAD ST,7107023
N201210041365,3,2,0,0,1880 GOLDEN GATE AV,1152018
N201307021054,2,1,0,0,203 RUSSIA AV,6086012C
N200609253193,1,1,0,0,191 BREWSTER ST,5577011
N201211295086,67,67,67,67,200 - 214 06TH ST,3731001
N200910209344,2,2,0,0,200 BROAD ST,7106058
N201207124717,806,806,0,0,201 FOLSOM ST,3746001
N200910209343,2,2,0,0,202 BROAD ST,7106059
N201010253666,3,3,0,0,2034 CLEMENT ST,1412019
N201406279814,97,97,12,12,2051 03RD ST,3994001B
N201506037942,2,1,0,0,2142 34TH AV,2184034
N201506249835,2,1,0,0,2082 BANCROFT AV,5403035
N201311222660,77,77,0,0,2101 & 2155 WEBSTER ST,0629037
N201306068799,1,1,0,0,2127 CASTRO ST,6612026
N201506199483,2,1,0,0,2130 SANTIAGO ST,2317016G
N201312134180,87,87,10,10,2198 MARKET ST,3542039
N201210091512,2,1,0,0,2207 25TH ST,4282A023
N200806164548,76,37,0,0,226 06TH ST,3731003
N200903254880,1,1,0,0,230 SWEENY ST,5859040
N201401247066,22,22,0,0,233 - 237 SHIPLEY ST,3753096
N201401297354,21,21,0,0,2353 - 2347 LOMBARD ST,0512026
N201311273026,3,1,0,0,2356 BRYANT ST,4145012
N200701292823,4,2,0,0,2374 FOLSOM ST,3594009
N201310038371,3,1,0,0,238 MISSOURI ST,4003006
N201401166470,93,93,93,93,2600 ARELIOUS WALKER DR,4884025
N200711077585,1,1,0,0,262 MADISON ST,5943050
N200809262740,2,1,0,0,2626 LARKIN ST,0069011
N201303041387,4,4,0,0,270 CAPITOL AV,7113022
N201211093966,84,84,0,0,2655 BUSH ST,1052024
N200711077587,80,77,0,0,268 MADISON ST,5943008
N201304164662,3,2,0,0,272 CLARA ST,3753076
N200906261414,2,1,0,0,279 MONTEREY BL,6771032
N201402047761,56,56,1,1,2800 SLOAT BLVD,2515001
N201210011010,3,1,0,0,2830 22ND ST,4146019
N201302069581,1,1,0,0,287 CRESTA VISTA DR,2993088
N201212045418,4,2,0,0,2881 MISSION ST,6517022
N201402249163,1,1,0,0,3 NAPLES ST,5948026A
N201009271661,2,2,0,0,3020 LAGUNA ST,0519029
N200905047636,2,2,0,0,311 EUREKA ST,2750035
N201410249901,5,2,0,0,3215 SCOTT ST,0936020
N201106238762,2,1,0,0,322 29TH AV,1405045
N201412053178,3,1,0,0,322 COLERIDGE ST,5673003
N201003248891,3,2,0,0,3249 17TH ST,3575063
N201306129341,2,2,0,0,333 PENNSYLVANIA AV,4040025
N201311041054,16,16,0,0,3420 18TH ST,3576090
N201303273113,75,75,8,8,344 - 388 FULTON ST,0785029
N201311202405,72,72,11,11,346 POTRERO AV,3962008
N201207205437,1,1,0,0,35 LA GRANDE AV,5963042
N201202174465,3,1,0,0,35 LEXINGTON ST,3576039
N201307303137,416,416,62,62,350 08TH ST,3756003
N201101208732,1,1,0,0,3501 ALEMANY BL,7135048
N200712120285,4,3,0,0,353 SAN JOSE AV,6531022
N200611308862,1,1,0,0,3595 KEITH ST,5476014
N201312265046,129,129,0,0,360 BERRY ST,8704004
N201306189882,3,1,0,0,3643 19TH ST,3598068
N201404304554,403,403,49,49,41 TEHAMA ST,3736074
N201012176969,1,1,0,0,4103 CESAR CHAVEZ ST,6581060
N201401176600,2,1,0,0,413 SHRADER ST,1227003
N200609132176,1,1,0,0,422 VICENTE ST,2416002H
N201503241678,2,1,0,0,428 GROVE ST,0793009
N201301168071,1,1,0,0,4376 24TH ST,2829010
N200912304034,2,2,0,0,447 - 453 LINDEN ST,0818048
N201306260573,41,41,5,5,450 HAYES ST,0808039
