PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201105166063,75.0,75.0,0,0,235 Broadway,165021
N201106017181,27.0,27.0,0,0,2559 Van Ness Av,527002
N201208036517,49.0,49.0,0,0,8 Octavia St,855011
N201203015201,71.0,71.0,0,0,50 Phelan Av,3180001
N201301097560,3.0,1.0,0,0,45 Belcher St,3537078
N201012237367,39.0,39.0,0,0,1875 Mission St,3548032
N200507147539,3.0,2.0,0,0,2986 22nd St,3613018B
N201301168124,114.0,114.0,0,0,2558 Mission St,3616007
N201104194374,3.0,1.0,0,0,639 Natoma St,3727035
N200705312675,3.0,2.0,0,0,56 Ringold St,3756025
N200412211855,312.0,312.0,0,0,425 First Street,3765015
N9924080S,132.0,14.0,0,0,833-881 Jamestown,4991277
N200707055953,7.0,7.0,0,0,4132 03rd St,5260003
N200603015694,1.0,1.0,0,0,133 Elsie St,5619057
N201207316121,2.0,1.0,0,0,77 Farallones Street,7108033
N201006043843,3.0,3.0,0,0,141 Albion St,3568068
N201003057685,2.0,1.0,0,0,179 Delmar St,1270053
N201005172557,7.0,7.0,0,0,1945 Hyde St,123002
N201004150330,2.0,1.0,0,0,727 29th Av,1615003
N201102170507,2.0,1.0,0,0,147 South Park Av,3775031
N201012156796,2.0,1.0,0,0,461 Hoffman Av,6503020
N201202174464,2.0,2.0,0,0,639 Peralta Av,5634014
N201203287050,2.0,1.0,0,0,2923 Harrison St,4271034
N201207245587,2.0,1.0,0,0,758 Spruce St,1088022
N201212075751,3.0,1.0,0,0,519 Duboce Av,3538096
N201208157477,1.0,1.0,0,0,2342 Washington St,604015
N201208278277,3.0,1.0,0,0,253 Sanchez St,3558029
N200710185839,6.0,6.0,0,0,350 Linden St,817069
N201306260603,2.0,1.0,0,0,2418 Balboa St,1568012
N201307252819,2.0,1.0,0,0,858 Florida St,4085010
N201307051214,2.0,1.0,0,0,949 Hampshire St,4142030
N201308305736,2.0,2.0,0,0,270 Brighton Av,6944044
N201308124103,2.0,2.0,0,0,700 Brotherhood Wy,7332003
N201210292956,2.0,1.0,0,0,1320 21st Av,1775044
N201107261097,1.0,1.0,0,0,74 Gold Mine Dr,7520034
N201302200538,2.0,1.0,0,0,2038 Balboa St,1564023
N201312315322,2.0,1.0,0,0,1596 09th Av,1854016A
N201108233049,273.0,273.0,0,0,55 9th St,3701064
N201106017208,282.0,282.0,0,0,900 Folsom St,3732009
N200607146552,26.0,26.0,0,0,870 Harrison St,3752019
N200606234934,2.0,1.0,0,0,3736 Cesar Chavez St,6567013
N201208107050,1.0,1.0,0,0,233 Laidley St,6684022
N201209119424,11.0,11.0,0,0,700 Brotherhood Wy,7332005
