PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N200905289263,2,1,0,0,473 11th Av,1533017,BP Filed,2009-05-28,"(37.779255, -122.469851)"
N201210313210,9,9,0,0,1469 Pacific Av,185029,PL Filed,2013-07-10,"(37.7950609, -122.419425)"
N201011295645,1,1,0,0,721 Beach St,25017,CONSTRUCTION,2014-05-30,"(37.8065275, -122.4210125)"
N200711077576,1,1,0,0,83 Panorama Dr,2821010,BP ISSUED,2014-04-04,"(37.7471479, -122.4509959)"
N201306149565,20,20,0,0,1255- 1275 Columbus Av,28014,BP ISSUED,2014-04-22,"(37.8057746, -122.4181777)"
N200712170659,2,2,0,0,377 Bay St,41039,BP Filed,2007-12-17,"(37.8055852, -122.4131654)"
N200602215057,35,35,0,0,1860 Van Ness Av,619012,CONSTRUCTION,2014-04-04,"(37.7929109, -122.422414)"
N200809262740,2,1,0,0,2626 Larkin St,69011,CONSTRUCTION,2014-04-30,"(37.802238, -122.421051)"
N200812319407,3,2,0,0,30 Edith St,77004,BP REINSTATED,2014-06-06,"(37.8028364, -122.4085997)"
N200908124639,19,18,0,0,1741 Powell St,101004,BP APPROVED,2012-11-02,"(37.8007666, -122.4109906)"
N200709193055,3,1,0,0,1812 Taylor St,119025,BP ISSUED,2011-07-13,"(37.7991246, -122.4138928)"
N200712281517,3,1,0,0,414 Vallejo St,133012,CONSTRUCTION,2012-12-13,"(37.799307, -122.404422)"
N201105166063,75,75,0,0,235 Broadway,165021,CONSTRUCTION,2014-06-18,"(37.7985075, -122.4016044)"
N201207104447,98,98,0,0,1100 Golden Gate Av,757025,BP ISSUED,2013-06-26,"(37.7800047, -122.428684)"
N201301238536,65,65,0,0,620 Sutter St,283004A,BP Filed,2013-01-23,"(37.7890918, -122.4105511)"
N200912243842,17,1,0,0,693 Sutter St,297009,CONSTRUCTION,2013-01-03,"(37.7886629, -122.4116476)"
N200712311569,50,4,0,0,875 Post St,303014,BP ISSUED,2012-07-20,"(37.7872104, -122.4162665)"
N200808058406,9,9,0,0,436 Ofarrell St,317005,BP Filed,2008-08-05,"(37.7861334, -122.412012)"
N200605232239,9,9,0,0,130 Turk St,339006,CONSTRUCTION,2013-11-04,"(37.783413, -122.411457)"
N201312033256,107,107,0,0,1545 Pine St,667016,BP Filed,2013-12-03,"(37.7894518, -122.4212491)"
N201012156753,90,90,0,0,101 Golden Gate Av,349001,CONSTRUCTION,2014-06-30,"(37.781936, -122.412374)"
N200801172733,1,1,0,0,3342 Steiner St,491020,BP Filed,2008-01-17,"(37.7994836, -122.4378412)"
N201106017181,27,27,0,0,2559 Van Ness Av,527002,CONSTRUCTION,2014-06-27,"(37.79921, -122.424482)"
N200706255058,7,4,0,0,1662-1664 Union St.,528008,BP Filed,2007-06-25,"(37.7983179, -122.4266607)"
N200707025741,2,1,0,0,2237 Polk St,550004,BP Filed,2007-07-02,"(37.797486, -122.422348)"
N200809252660,69,69,0,0,1450 Franklin St,671006,CONSTRUCTION,2014-03-04,"(37.7879306, -122.423451)"
N200703307666,3,3,0,0,42 Leese St,5719023,BP Filed,2007-03-30,"(37.736739, -122.423848)"
