PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200905289263,2,1,0,0,473 11th Av,1533017,BP Filed,2009-05-28
N201210313210,9,9,0,0,1469 Pacific Av,185029,PL Filed,2013-07-10
N201011295645,1,1,0,0,721 Beach St,25017,CONSTRUCTION,2014-05-30
N200711077576,1,1,0,0,83 Panorama Dr,2821010,CONSTRUCTION,2014-09-23
N201306149565,20,20,0,0,1255- 1275 Columbus Av,28014,BP ISSUED,2014-04-22
N200712170659,2,2,0,0,377 Bay St,41039,BP Filed,2007-12-17
N200602215057,35,35,0,0,1860 Van Ness Av,619012,CONSTRUCTION,2014-04-04
N200809262740,2,1,0,0,2626 Larkin St,69011,CONSTRUCTION,2014-04-30
N200812319407,3,2,0,0,30 Edith St,77004,BP REINSTATED,2014-06-06
N200908124639,19,18,0,0,1741 Powell St,101004,BP APPROVED,2012-11-02
N200709193055,3,1,0,0,1812 Taylor St,119025,BP ISSUED,2011-07-13
N200712281517,3,1,0,0,414 Vallejo St,133012,CONSTRUCTION,2012-12-13
N201105166063,75,75,0,0,235 Broadway,165021,CONSTRUCTION,2014-06-18
N201207104447,98,98,0,0,1100 GOLDEN GATE AV,757025,CONSTRUCTION,2015-03-27
N201301238536,78,78,0,0,620 Sutter St,283004A,BP Filed,2013-01-23
N200912243842,17,1,0,0,693 Sutter St,297009,CONSTRUCTION,2013-01-03
N200712311569,50,4,0,0,875 Post St,303014,BP ISSUED,2012-07-20
N200808058406,9,9,0,0,436 Ofarrell St,317005,BP Filed,2008-08-05
N200605232239,9,9,0,0,130 Turk St,339006,CONSTRUCTION,2013-11-04
N201312033256,107,107,0,0,1545 Pine St,667016,BP Filed,2013-12-03
N201012156753,90,90,0,0,101 Golden Gate Av,349001,CONSTRUCTION,2014-06-30
N200801172733,1,1,0,0,3342 Steiner St,491020,BP Filed,2008-01-17
N201106017181,27,27,0,0,2559 Van Ness Av,527002,CONSTRUCTION,2014-06-27
N200706255058,7,4,0,0,1662-1664 Union St.,528008,BP Filed,2007-06-25
N200707025741,2,1,0,0,2237 Polk St,550004,BP Filed,2007-07-02
N200809252660,69,69,0,0,1450 Franklin St,671006,CONSTRUCTION,2014-03-04
N200703307666,3,3,0,0,42 Leese St,5719023,BP Filed,2007-03-30
N201312093685,29,29,0,0,580 Hayes St,807010,BP Filed,2013-12-09
N200703126040,2,2,0,0,476 Linden St,818020,BP ISSUED,2012-08-30
N200810013158,16,16,0,0,300 Octavia St,832025,BP Filed,2008-10-01
N200810013162,16,16,0,0,360 Octavia St,832026,BP Filed,2008-10-01
N200912032516,35,35,0,0,1 Franklin St,837003,BP Filed,2009-12-03
N201208036517,49,49,0,0,8 Octavia St,855011,CONSTRUCTION,2014-06-24
