PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201505085755,1,1,0,0,1 EDGAR AV,6978069,BP FILED,2015-05-08
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003,CONSTRUCTION,2016-03-28
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001,CONSTRUCTION,2016-03-17
N201409247165,2,1,0,0,1 HORACE ST,6525001A,BP FILED,2014-09-24
N200712140534,13,13,0,0,1 STANYAN ST,1084001B,BP APPROVED,2015-10-22
N201203055412,1,1,0,0,10 APTOS AV,3261002,BP FILED,2012-03-05
N201507091034,2,2,0,0,10 TINGLEY ST,6800004,BP FILED,2015-07-09
N200408040564,12,12,5,5,1001 17TH ST & 140 PENNSYLVANIA AV,3987010,BP ISSUED,2014-08-06
N201512023975,2,1,0,0,1050 GILMAN AV,4937006A,BP FILED,2015-12-02
N200705010141,28,28,3,3,1004 MISSISSIPPI ST,4224015,BP APPROVED,2016-03-15
N201112070234,393,393,94,94,1006 / 1050 16TH ST & 1380 07TH ST,3833002,CONSTRUCTION,2016-03-30
N201306270692,85,85,10,10,101 HYDE ST,0346003A,BP FILED,2013-06-27
N200705221925,4,3,0,0,101 LELAND AV,6250036,CONSTRUCTION,2016-01-21
N201512175322,4,4,0,0,1010 STANYAN ST,1273017,BP FILED,2015-12-17
N201209109355,1,1,0,0,1014 GILMAN AV,4937018,BP ISSUED,2013-10-22
N201506229512,2,2,0,0,1016 DE HARO ST,4159004,BP FILED,2015-06-22
N201410290258,2,1,0,0,1019 KANSAS ST,4158060,BP FILED,2014-10-29
N201411252470,3,1,0,0,102 BAKER ST,1219018,BP FILED,2014-11-25
N201308295550,3,1,0,0,1087 MISSISSIPPI ST,4224049,BP REINSTATED,2015-10-01
N201201242773,2,2,0,0,103 WALBRIDGE ST,6428007,BP REINSTATED,2012-01-30
N201510200295,6,6,0,0,1032 PACIFIC AV,0158010,BP FILED,2015-10-20
N201406269523,83,83,83,83,1036 - 1040 MISSION ST,3703079,BP ISSUED,2015-09-11
N200705010119,2,2,0,0,1036 MISSISSIPPI ST,4224018,BP APPROVED,2009-12-01
N201006073967,3,2,0,0,1067 TENNESSEE ST,4108010,BP REINSTATED,2010-09-08
N201502138346,37,1,0,0,1036 POLK ST,0693015,BP ISSUED,2016-01-29
N200706265226,2,2,0,0,104 BACHE ST,5826002,CONSTRUCTION,2014-10-03
N201411242420,3,1,0,0,1044 JACKSON ST,0181013,BP FILED,2014-11-24
N201012277437,15,15,0,0,1050 VALENCIA ST,3617008,CONSTRUCTION,2016-02-12
N201307313282,1,1,0,0,1055 ASHBURY ST,1269167,CONSTRUCTION,2016-03-23
N201512316217,2,2,0,0,1058 MISSISSIPPI ST,4224022,BP FILED,2015-12-31
N200610245911,1,1,0,0,1060 GILMAN AV,4937014,BP REINSTATED,2010-11-04
N201406128212,304,304,0,0,1066 MARKET ST,0350003,PL APPROVED,2016-03-17
N201405286908,90,90,0,0,1075 MARKET ST,3703062,PL APPROVED,2015-11-13
N201412123641,2,1,0,0,1076 RHODE ISLAND ST,4158011,BP FILED,2014-12-12
N201407231943,2,1,0,0,108 ORSI CR,5428D037,BP FILED,2014-07-23
N201511102331,2,1,0,0,1083 HOLLISTER AV,4965029,BP FILED,2015-11-10
N201409116118,202,202,0,0,1095 MARKET ST,3703059,BP ISSUED,2015-11-17
N201511233353,1,1,0,0,11 HILIRITAS AV,7552026,BP FILED,2015-11-23
N201505085779,2,1,0,0,11 MADDUX AV,5384C013C,BP FILED,2015-05-08
