PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200705211788,3,1,0,0,2157 Lombard St,510029,CONSTRUCTION,2013-12-16
N201109074027,24,24,0,0,1600 Market St,854001,CONSTRUCTION,2013-12-30
N201012217106,115,115,0,0,1960-1998 Market St,872005,CONSTRUCTION,2013-12-19
N200808219735,2,1,0,0,2775 San Bruno Av,5450020,BP Filed,2008-08-21
N200912183521,15,15,0,0,1266 09th Av,1742043,CONSTRUCTION,2013-11-14
N200607207084,754,754,0,0,1401 Market St,3507041,CONSTRUCTION,2012-02-23
N200607176702,18,18,0,0,1801 Mission St,3548039,BP Filed,2006-07-17
N200506246051,88,88,0,0,333 Fremont St,3747019,CONSTRUCTION,2013-12-12
N200701051074,19,19,0,0,246 Ritch St,3776092,CONSTRUCTION,2013-10-23
N201204118076,1,1,0,0,322 Arleta Av,6233005,CONSTRUCTION,2013-11-07
N200711137944,9,9,0,0,3135 24th St,6520036,CONSTRUCTION,2013-07-16
N200709243463,2,1,0,0,461 29th St,6631033,BP Filed,2007-09-24
N200807106426,2,2,0,0,483 Bosworth St,6753063,BP Filed,2008-07-10
N200912223711,52,52,0,0,63 West Point Rd,4624004,CONSTRUCTION,2013-04-09
N201005142433,1,1,0,0,259 Broad Street,7114052,BP ISSUED,2012-07-05
N201104224606,315,315,0,0,185 Channel St,8711023,CONSTRUCTION,2013-12-13
N200907203020,1,1,0,0,40 Edgehill Wy,2923008,CONSTRUCTION,2013-06-06
N201211134097,2,1,0,0,710 Cole St,1252046,CONSTRUCTION,2013-10-01
N201207054130,273,273,0,0,1155 04th St,8713001,CONSTRUCTION,2013-12-23
N201112271344,5,5,0,0,2001 17th St,3977001,BP Filed,2011-12-27
N201204249016,3,1,0,0,1265 Bay St,473015A,CONSTRUCTION,2013-07-26
N201208298537,1,1,0,0,850 Brunswick St,6472007,CONSTRUCTION,2013-09-12
N201212196526,2,1,0,0,542 Moraga St,1932022,CONSTRUCTION,2013-12-12
N201212136160,2,1,0,0,1379 Revere Av,4788017,CONSTRUCTION,2013-08-22
N201203135987,172,172,0,0,1200 04th St,8711017,BP ISSUED,2012-03-26
N201310038412,2,1,0,0,2808 Market St,2651008,BP Filed,2013-10-03
N201304033682,6,6,0,0,1409 Sutter St,689016,BP ISSUED,2013-06-27
