PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201203055412,1,1,0,0,10 APTOS AV,3261002,BP FILED,2012-03-05
N200408040564,12,12,5,5,1001 17TH ST & 140 PENNSYLVANIA AV,3987010,BP ISSUED,2014-08-06
N201112070234,393,393,94,94,1006 / 1050 16TH ST & 1380 07TH ST,3833002,CONSTRUCTION,2016-03-30
N201201242773,2,2,0,0,103 WALBRIDGE ST,6428007,BP REINSTATED,2012-01-30
N201006073967,3,2,0,0,1067 TENNESSEE ST,4108010,BP REINSTATED,2010-09-08
N200610245911,1,1,0,0,1060 GILMAN AV,4937014,BP REINSTATED,2010-11-04
N201511051844,2,1,0,0,110 TUCKER AV,6201004,BP FILED,2015-11-05
N201509177270,10,1,0,0,1117 OCEAN AV,6944046,BP FILED,2015-09-17
N201402208929,2,1,0,0,1123 CAROLINA ST,4219043,BP FILED,2014-02-20
N201408214436,4,4,0,0,1126 IRVING ST,1738021,BP FILED,2014-08-21
N201507020526,11,11,0,0,1155 MARKET ST,3702054,CONSTRUCTION,2016-02-23
N200806114219,2,1,0,0,1173 PLYMOUTH AV,6942004,BP FILED,2008-06-11
N201309237536,1,1,0,0,122 ARCH ST,7119027,BP FILED,2013-09-23
N201311212547,5,3,0,0,1239 17TH ST,3985027,BP FILED,2013-11-21
N201005061831,2,1,0,0,1248 SILVER AV,5918001,BP FILED,2010-05-06
N200801172733,1,1,0,0,3342 STEINER ST,0491020,BP FILED,2008-01-17
N201504214240,2,1,0,0,1315 SILLIMAN ST,5938049,CONSTRUCTION,2016-03-11
N200808290369,6,6,0,0,1415 OCEAN AV,6941063,BP FILED,2008-08-29
N201407070583,1,1,0,0,1455 11TH AV,1842011,BP FILED,2014-07-07
N201505126143,2,1,0,0,1987 OAKDALE AV,5319028,CONSTRUCTION,2016-03-23
N201301228393,3,1,0,0,333 SAN CARLOS ST,3609109,BP FILED,2013-01-22
N201003188484,1,1,0,0,3350 TARAVAL ST,2372024A,BP FILED,2010-03-18
N200711077576,1,1,0,0,83 PANORAMA DR,2821010,CONSTRUCTION,2015-03-17
N200902182284,3,1,0,0,835 LOMBARD ST,0073020,BP FILED,2009-02-18
N201203025301,1,1,0,0,1636 BUSH ST,0665012,BP FILED,2012-03-02
N201203055396,34,34,0,0,1650 BROADWAY *,0570011,CONSTRUCTION,2016-03-21
N200706255058,7,4,0,0,1662 - 1664 UNION ST,0528008,BP FILED,2007-06-25
N200612018971,2,1,0,0,1698 10TH AV,1934023,BP FILED,2006-12-01
N200904065665,6,6,0,0,1701 09TH AV,2040001,CONSTRUCTION,2013-01-08
N201305298094,1,1,0,0,1758 12TH AV,2038A019,CONSTRUCTION,2015-12-08
N201305207414,2,1,0,0,1781 QUESADA AV,5338032,BP FILED,2013-05-20
N201207124717,656,656,0,0,201 FOLSOM ST,3746001,CONSTRUCTION,2016-03-17
N200811196948,2,1,0,0,2104 CASTRO ST,6611003,BP FILED,2008-11-19
N201102180558,1,1,0,0,2138 FOLSOM ST,3574008,BP FILED,2011-02-18
N200611036818,4,4,0,0,2175 BAYSHORE BL,5066B003,BP APPROVED,2009-11-23
N201111189212,3,3,0,0,2175 HAYES ST,1212022,BP FILED,2011-11-18
N201105035210,4,1,0,0,226 - 228 HAIGHT ST,0851012,PL APPROVED,2011-09-23
N200903254880,1,1,0,0,230 SWEENY ST,5859040,CONSTRUCTION,2014-12-22
N201312315426,2,1,0,0,2337 TARAVAL ST,2392037,BP FILED,2013-12-31
N201408063186,2,1,0,0,2355 31ST AV,2360006,BP ISSUED,2015-01-27
N200701292823,4,2,0,0,2374 FOLSOM ST,3594009,CONSTRUCTION,2012-05-10
N201204138282,11,8,0,0,"2419, 2421 & 2435 LOMBARD ST",0937028,BP FILED,2012-04-13
N201404234011,3,1,0,0,2486 FULTON ST,1168025,BP REINSTATED,2016-03-22
N200908144854,2,1,0,0,2727 GOUGH ST,0529002,BP FILED,2009-08-14
N201402219049,2,1,0,0,281 FREDERICK ST,1269087,BP FILED,2014-02-21
N201207114624,4,3,0,0,2830 24TH ST,4209017,BP FILED,2012-07-11
N201402249163,1,1,0,0,3 NAPLES ST,5948026A,CONSTRUCTION,2015-11-23
N201211093910,6,6,0,0,3038 CLEMENT ST,1402023,BP ISSUED,2014-10-27
N200905047636,2,2,0,0,311 EUREKA ST,2750035,CONSTRUCTION,2014-08-06
N200806134390,3,3,0,0,3201 BALBOA ST,1611001,BP FILED,2008-06-13
N200512200747,6,6,0,0,3360 20TH ST,3594016,BP APPROVED,2010-10-21
N201208036505,384,384,0,0,340 FREMONT ST,3748006,BP FILED,2012-08-03
N201207205437,1,1,0,0,35 LA GRANDE AV,5963042,CONSTRUCTION,2015-12-08
N201101208732,1,1,0,0,3501 ALEMANY BL,7135048,CONSTRUCTION,2015-12-29
N200904065668,3,1,0,0,355 CAPP ST,3590056,BP FILED,2009-04-06
N201507030638,2,1,0,0,3720 21ST ST,3604016,BP ISSUED,2016-03-15
N200712170659,2,2,0,0,377 BAY ST,0041039,BP FILED,2007-12-17
N201101208700,4,2,0,0,3808 MISSION ST,6692002,BP FILED,2011-01-20
N201107089769,4,2,0,0,3932 GEARY BL,1435017,BP FILED,2011-07-08
N200902061524,2,1,0,0,421 ALVARADO ST,3625040,BP FILED,2009-02-06
N201107119929,2,1,0,0,4267 23RD ST,2805036,BP FILED,2011-07-11
N200807035945,2,1,0,0,427 MORAGA ST,2039044,BP FILED,2008-07-03
N200908034026,2,1,0,0,445 WALLER ST,0867033,BP FILED,2009-08-03
N201603041244,1,0,0,0,446 CHENERY ST,6717012,BP Filed,2016-03-04
N201403170944,20,20,0,0,449 14TH ST,3546026,BP FILED,2014-03-17
N200609182560,3,2,0,0,470 08TH AV,1537027,BP FILED,2006-09-18
N201402249169,1,1,0,0,5 NAPLES ST,5948026B,CONSTRUCTION,2015-11-05
N200803106731,2,1,0,0,474 11TH AV,1534026,BP FILED,2008-03-10
N200806063801,4,4,0,0,48 HARRIET ST,3731102,BP FILED,2008-06-06
N200911302251,3,1,0,0,483 35TH AV,1467020,BP FILED,2009-11-30
N200707096216,1,1,0,0,495 MORSE ST,6478031,BP ISSUED,2009-05-15
N200701101441,1,1,0,0,497 VALLEY ST,6621030,CONSTRUCTION,2015-08-26
N201201242770,2,2,0,0,520 CARTER ST,6428001,BP FILED,2012-01-24
N200712190876,1,1,0,0,538 VALLEY ST,6611014,BP FILED,2007-12-19
N200804159728,6,1,0,0,5498 MISSION ST,7044A006,PL FILED,2009-11-18
N201209059005,116,116,0,0,55 LAGUNA ST (BLDG 1),0870003,CONSTRUCTION,2016-03-28
N201504224344,81,17,0,0,555 POST ST,0306020,CONSTRUCTION,2016-02-29
N201505015186,2,1,0,0,56 ROCKWOOD CT,2936A026,CONSTRUCTION,2016-03-25
N200804028581,2,1,0,0,564 CHENERY ST,6727016,BP FILED,2008-04-02
N200908185077,5,4,0,0,598 BELVEDERE ST,1279048,BP FILED,2009-08-18
N200906160568,2,1,0,0,60 FOUNTAIN ST,6501010,BP FILED,2009-06-16
