,PERMIT_ID,NAMEADDR,IN_CONSTRUCTION,YEAR_END_PREDICTED,QUARTER_END_PREDICTED,UNITS,NET_UNITS,PERMIT_DATE_YEAR,PERMIT_DATE_QUARTER,DURATION_PREDICTED,COST
209,N201603172392,HOPE SF POTRERO (BP ISSUED),1,2019,2,1600,994,2016,4,9,21800000
57,N201309045886,801 BRANNAN ST,1,2017,1,557,557,2014,3,9,127060484
36896,N201606200387,South Van Ness Ave 49,0,2020,2,550,550,2017,4,9,400000000
30383,N201310280433,08th St 33,0,2016,2,550,550,2013,4,9,3000000
10,N201209069080,TRINITY PLAZA,1,2016,2,550,550,2013,4,9,133333000
38010,N201707131860,01st St 245,0,2020,2,546,546,2017,4,9,1
33544,N201503110506,Folsom St 510,0,2019,2,545,545,2016,1,12,189838000
38020,N201707202450,Market St 1169,0,2020,1,501,501,2017,3,9,12760000
30538,N201311152095,Mission St 1188,0,2016,2,440,440,2013,4,9,400000
37703,N201701247758,Brannan St 801,0,2019,3,434,434,2017,1,9,250000
37418,N201610200809,Van Ness Ave 150,0,2019,2,431,431,2016,4,9,100000
165,N201406138394,150 VAN NESS AV,1,2018,4,431,431,2016,2,9,108000000
170,N201404304554,41 TEHAMA ST,1,2018,1,418,418,2015,3,9,106869000
28462,N201211144194,Mission St 1190,0,2016,2,418,418,2013,1,12,5000
36762,N201605177694,08th St 350,0,2018,4,408,408,2016,2,9,5000
37839,N201703232170,Tehama St 41,0,2020,1,403,403,2017,3,9,1
32061,N201406259481,Folsom St 160,0,2019,2,390,390,2016,4,9,195723000
171,N201406259383,800 INDIANA ST,1,2018,2,326,326,2015,4,9,115000000
36627,N201604215372,Lansing St 45,0,2019,3,320,320,2017,1,9,1
58,N201312234917,1201 - 1225 TENNESSEE ST,1,2017,4,300,300,2015,2,9,73394456
34440,N201506108643,Long Bridge St 718,0,2018,1,263,263,2015,3,9,1
35746,N201512145054,22nd St 1395,0,2019,4,256,256,2017,2,9,110000000
35020,N201509227707,,0,2019,2,250,250,2016,4,9,63874478
27844,N201207124724,Main St 338,0,2015,4,245,245,2013,2,9,98015300
37959,N201705257627,03rd St 701,0,2020,1,230,230,2017,3,9,1
36394,N201603141910,04th St 250,0,2018,4,208,208,2016,2,9,5000
27955,N201208016312,Mission St 1880,0,2015,1,202,202,2012,3,9,1
37928,N201705116353,Silver Ave 302,0,2020,1,198,198,2017,3,9,1500000
33601,N201503181252,03rd St 1000,0,2018,1,198,198,2015,3,9,6446086
172,N201408133775,MISSION BAY BLOCK 1 (RESIDENTIAL) 03RD,1,2018,1,198,198,2015,3,9,86000000
32022,N201406239109,Bryant St 2000,0,2020,1,194,194,2017,3,9,50000000
30205,N201310048548,Mission St 1400,0,2016,2,190,190,2013,4,9,3000000
32406,N201408204325,Octavia St 323,0,2018,2,182,182,2015,4,9,10000
31240,N201402269385,Octavia St 325,0,2017,1,182,182,2014,3,9,1
27228,N201203196326,05th St 240,0,2015,1,182,182,2012,3,9,888104
37911,N201705025455,16th St 1301,0,2020,1,172,172,2017,3,9,40000000
37109,N201608094564,04th St 1200,0,2019,2,172,172,2016,4,9,460895
37903,N201704285234,Mission St 706,0,2020,1,169,169,2017,3,9,1
30729,N201312174400,Polk St 101,0,2016,4,162,162,2014,2,9,100000
37991,N201706219968,Market St 1699,0,2020,1,160,160,2017,3,9,160000
35215,N201510301302,Mission St 526,0,2019,4,156,156,2017,1,10,270000000
29657,N201306250398,Henry Adams St 1,0,2017,1,156,156,2014,3,9,40000000
36325,N201603010904,Arkansas St 210,0,2019,1,154,154,2016,3,9,50000000
173,N201408133766,MISSION BAY BLOCK 1 (RESIDENTIAL) CHANNEL,1,2018,1,152,152,2015,3,9,50000000
36339,N201603031058,Mariposa St 1601,0,2019,1,145,145,2016,3,9,40000000
174,N201507272485,MISSION BAY BLOCK 6E,1,2018,1,143,143,2016,1,7,48657306
11,N201305015894,181 FREMONT ST,1,2016,2,140,140,2013,4,9,136313594
37204,N201608296231,Fulton St 555,0,2019,4,139,139,2017,2,9,1
13,N201305036062,555 FULTON ST,1,2016,4,139,139,2014,1,10,48723500
37043,N201607253262,Harrison St 1532,0,2020,1,136,136,2017,3,9,32000000
32932,N201411262650,King St 144,0,2017,3,132,132,2015,1,9,10000
35238,N201511021443,Arkansas St 88,0,2019,2,127,127,2016,4,9,30251721
59,N201501236565,HOPE SF ALICE GRIFFITH,1,2017,4,122,122,2015,4,7,39000000
36501,N201604013681,Howard St 75,0,2020,2,120,120,2017,4,9,146916000
37616,N201612215523,03rd St 1150,0,2019,4,119,119,2017,2,9,45000000
36686,N201605046495,Fremont St 325,0,2019,3,118,118,2017,1,9,43500000
60,N201311202410,923 FOLSOM ST,1,2017,4,115,115,2015,2,9,35000000
38035,N201708185215,Taylor St 210,0,2020,2,113,113,2017,4,9,50000
61,N201411101145,1140 FOLSOM ST,1,2017,4,112,112,2015,4,7,17450000
35216,N201510301303,01st St 50,0,2020,2,109,109,2017,3,10,520000000
29646,N201306210213,03rd St 2171,0,2019,4,109,109,2017,2,9,43100000
30583,N201311222657,Market St 1554,0,2019,2,109,109,2016,4,9,41000000
37918,N201705055803,Fell St 455,0,2020,1,108,108,2017,3,9,375000
62,N201312033256,1545 PINE ST,1,2017,4,107,107,2015,4,7,39000000
29509,N201305217545,Sutter St 1285,0,2016,1,107,107,2013,3,9,1
14337,N200606144063,09th St 66,0,2015,4,107,107,2007,2,33,28000000
31983,N201406178645,03rd St 2121,0,2017,1,105,105,2014,3,9,3000
37782,N201702280331,06th St 363,0,2019,4,104,104,2017,4,7,17893508
36092,N201602179763,06th St 345,0,2019,4,102,102,2017,2,9,6000000
37059,N201607273531,Pine St 1545,0,2020,1,100,100,2017,3,9,150000
34408,N201506058279,Turk St 1239,0,2018,2,98,98,2015,4,9,25000
12290,N200512281145,Executive Park Blvd 101,0,2013,3,98,98,2007,3,23,35181000
64,N201406279814,2051 03RD ST,1,2017,4,97,97,2015,2,9,32903228
37158,N201608195545,Shotwell St 1294,0,2019,4,94,94,2017,2,9,33000000
65,N201312093691,645 TEXAS ST,1,2017,4,94,94,2015,1,10,30000000
25371,N201012217062,Townsend St 178,0,2014,2,94,94,2011,1,12,350000
37829,N201703171746,03rd St 2051,0,2019,4,93,93,2017,4,7,10000
175,N201405286908,1075 MARKET ST,1,2018,3,90,90,2016,3,7,27000000
176,N201405054911,815 TENNESSEE ST,1,2018,2,88,88,2016,2,7,21000000
16,N201312134180,2198 MARKET ST,1,2016,4,87,87,2014,4,7,20000000
66,N201406249199,TRANSBAY BLOCK 7,1,2017,2,85,85,2015,2,7,8683195
25095,N201010052342,South Van Ness Ave 490,0,2017,4,84,84,2015,2,9,20500000
37851,N201703312961,Mission St 1036,0,2019,3,83,83,2017,3,7,590000
67,N201406269523,1036 - 1040 MISSION ST,1,2017,3,83,83,2015,3,7,30000000
17,N201204168406,800 PRESIDIO AV,1,2016,4,83,83,2014,2,9,15000000
9820,N200506084563,Battery St 810,0,2011,4,81,81,2005,4,23,325000
34593,N201507060668,Laguna St 95,0,2018,4,79,79,2016,2,9,25000000
178,N201602230301,750 HARRISON ST,1,2018,3,79,79,2016,3,7,10000000
18,N201303273113,344 - 388 FULTON ST,1,2016,2,75,75,2013,4,9,12500000
30068,N201309116515,Fremont St 183,0,2015,4,74,74,2013,4,7,4200000
